model_name,total_params,trainable_params,training_time,time_per_epoch,samples_per_second,final_val_accuracy,peak_memory_mb,memory_increase_mb,gradient_norm,gradient_stability,batch_size
cnn1d,1177163,1176267,14.118617057800293,7.0593085289001465,283.3138673302332,0.11249999701976776,2913.671875,1992.39453125,1.116798758506775,1.0896090269088745,128
resnet,577483,575563,26.390313386917114,13.195156693458557,151.5707654302803,0.07999999821186066,3691.9140625,767.05078125,0.42285043001174927,0.042969491332769394,128
complex_nn,810955,810955,36.414939641952515,18.207469820976257,109.84502622631632,0.3100000023841858,4437.40234375,742.84765625,0.5322404503822327,0.16307272017002106,128
mcldnn,405175,405175,7.396272897720337,3.6981364488601685,540.8129277156432,0.08749999850988388,4514.33203125,75.0,0.1713615506887436,0.005968955811113119,128
pet,71871,71871,4.116528511047363,2.0582642555236816,971.6925290971166,0.09000000357627869,4536.546875,14.05078125,0.04409034550189972,0.0017210841178894043,128
ulcnn,9751,9287,36.18652558326721,18.093262791633606,110.53838232675245,0.10750000178813934,4902.15625,364.03125,0.3022370934486389,0.047434139996767044,128
